patchnumber,yt-startsecond,yt-starttime,yt-endsecond,yt-link
B13,1194.88,0:19:54.88,1208.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=1194.88
B14,1208.56,0:20:08.56,1218.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1208.56
B15,1218.00,0:20:18,1230.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1218.00
B16,1230.16,0:20:30.16,1241.68,https://www.youtube.com/watch?v=UeiKJdvcync#t=1230.16
B17,1241.68,0:20:41.68,1258.36,https://www.youtube.com/watch?v=UeiKJdvcync#t=1241.68
B18,1258.36,0:20:58.36,1268.64,https://www.youtube.com/watch?v=UeiKJdvcync#t=1258.36
B21,1268.64,0:21:08.64,1277.36,https://www.youtube.com/watch?v=UeiKJdvcync#t=1268.64
B22,1277.36,0:21:17.36,1288.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=1277.36
B23,1288.04,0:21:28.04,1296.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1288.04
B24,1296.16,0:21:36.16,1303.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=1296.16
B25,1303.92,0:21:43.92,1317.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1303.92
B26,1317.16,0:21:57.16,1327.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=1317.16
B27,1327.08,0:22:07.08,1335.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=1327.08
B28,1335.72,0:22:15.72,1341.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1335.72
B31,1341.16,0:22:21.16,1352.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1341.16
B32,1352.00,0:22:32,1363.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=1352.00
B33,1363.12,0:22:43.12,1376.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=1363.12
B34,1376.28,0:22:56.28,1386.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=1376.28
B35,1386.28,0:23:06.28,1397.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1386.28
B36,1397.00,0:23:17,1406.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=1397.00
B37,1406.88,0:23:26.88,1416.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=1406.88
B38,1416.24,0:23:36.24,1431.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=1416.24
B41,1431.24,0:23:51.24,1444.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1431.24
B42,1444.00,0:24:04,1452.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=1444.00
B43,1452.20,0:24:12.20,1466.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=1452.20
B44,1466.08,0:24:26.08,1479.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=1466.08
B45,1479.52,0:24:39.52,1488.64,https://www.youtube.com/watch?v=UeiKJdvcync#t=1479.52
B46,1488.64,0:24:48.64,1497.64,https://www.youtube.com/watch?v=UeiKJdvcync#t=1488.64
B47,1497.64,0:24:57.64,1506.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=1497.64
B48,1506.96,0:25:06.96,1516.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=1506.96
B51,1516.08,0:25:16.08,1526.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=1516.08
B52,1526.48,0:25:26.48,1534.36,https://www.youtube.com/watch?v=UeiKJdvcync#t=1526.48
B53,1534.36,0:25:34.36,1547.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=1534.36
B54,1547.52,0:25:47.52,1563.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1547.52
B55,1563.16,0:26:03.16,1580.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1563.16
B56,1580.16,0:26:20.16,1597.40,https://www.youtube.com/watch?v=UeiKJdvcync#t=1580.16
B57,1597.40,0:26:37.40,1605.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=1597.40
B58,1605.60,0:26:45.60,1624.40,https://www.youtube.com/watch?v=UeiKJdvcync#t=1605.60
B61,1624.40,0:27:04.40,1635.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=1624.40
B62,1635.44,0:27:15.44,1649.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=1635.44
B63,1649.24,0:27:29.24,1659.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=1649.24
B64,1659.20,0:27:39.20,1670.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=1659.20
B65,1670.12,0:27:50.12,1683.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=1670.12
B66,1683.44,0:28:03.44,1698.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=1683.44
B67,1698.12,0:28:18.12,1711.36,https://www.youtube.com/watch?v=UeiKJdvcync#t=1698.12
B68,1711.36,0:28:31.36,1727.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=1711.36
B71,1727.88,0:28:47.88,1734.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=1727.88
B72,1734.48,0:28:54.48,1741.16,https://www.youtube.com/watch?v=UeiKJdvcync#t=1734.48
B73,1741.16,0:29:01.16,1749.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=1741.16
B74,1749.24,0:29:09.24,1760.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=1749.24
B75,1760.72,0:29:20.72,1769.36,https://www.youtube.com/watch?v=UeiKJdvcync#t=1760.72
B76,1769.36,0:29:29.36,1777.68,https://www.youtube.com/watch?v=UeiKJdvcync#t=1769.36
B77,1777.68,0:29:37.68,1793.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=1777.68
B78,1793.48,0:29:53.48,1808.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1793.48
B81,1817.76,0:30:17.76,1835.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1817.76
B82,1835.00,0:30:35,1862.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=1835.00
B83,1862.72,0:31:02.72,1878.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=1862.72
B84,1878.96,0:31:18.96,1893.80,https://www.youtube.com/watch?v=UeiKJdvcync#t=1878.96
B85,1893.80,0:31:33.80,1904.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=1893.80
B86,1904.20,0:31:44.20,1918.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=1904.20
B87,1918.72,0:31:58.72,1942.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=1918.72
B88,1942.00,0:32:22,1949.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=1942.00
