displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
A082,OnTheRun,0,,81,,,Arp,1,,82,T,Tsching (Holger Steinbrink),7,OnTheRun       T
A083,LFO Delay 2,0,,82,,,Arp,1,,83,SCD,Something Completely Different (Boele Gerkes),2,LFO Delay 2  SCD
A084,LFOWahDelay,0,,83,,,Arp,1,,84,SCD,Something Completely Different (Boele Gerkes),2,LFOWahDelay  SCD
A085,The End,0,,84,,,Arp,1,,85,SCD,Something Completely Different (Boele Gerkes),6,The End      SCD
A086,Deadmau5 Bass,0,,85,,,Bass,1,,86,T,Tsching (Holger Steinbrink),2,Deadmau5 Bass  T
A087,Pulse Drive,0,,86,,,Bass,1,,87,T,Tsching (Holger Steinbrink),4,Pulse Drive    T
A088,FM Bass,0,,87,,,Bass,1,,88,T,Tsching (Holger Steinbrink),8,FM Bass        T
A089,Oizo Bass,0,,88,,,Bass,1,,89,T,Tsching (Holger Steinbrink),6,Oizo Bass      T
A090,Pickup Bass,0,,89,,,Bass,1,,90,T,Tsching (Holger Steinbrink),4,Pickup Bass    T
A091,BassTrap,0,,90,,,Bass,1,,91,SCD,Something Completely Different (Boele Gerkes),5,BassTrap     SCD
A092,Wide Bass,0,,91,,,Bass,1,,92,T,Tsching (Holger Steinbrink),6,Wide Bass      T
A093,Dirty Bass,0,,92,,,Bass,1,,93,T,Tsching (Holger Steinbrink),5,Dirty Bass     T
A094,Rev Pulse Bass,0,,93,,,Bass,1,,94,T,Tsching (Holger Steinbrink),1,Rev Pulse Bass T
A095,C64 Bass,0,,94,,,Bass,1,,95,T,Tsching (Holger Steinbrink),7,C64 Bass       T
A096,Tranceptor,0,,95,,,Seq,1,,96,T,Tsching (Holger Steinbrink),5,Tranceptor     T
A097,Short Trance,0,,96,,,Seq,1,,97,T,Tsching (Holger Steinbrink),3,Short Trance   T
A098,Sauron Pad,0,,97,,,Pad,1,,98,T,Tsching (Holger Steinbrink),5,Sauron Pad     T
A099,Ghost On Mars,0,,98,,,Atmo,1,,99,T,Tsching (Holger Steinbrink),2,Ghost On Mars  T
A100,ImpulseResp.,0,,99,,,Atmo,1,,100,SCD,Something Completely Different (Boele Gerkes),1,ImpulseResp. SCD
A101,CombDeBoele,0,,100,,,Atmo,1,,101,SCD,Something Completely Different (Boele Gerkes),2,CombDeBoele  SCD
A102,SpaceDigde,0,,101,,,Atmo,1,,102,T,Tsching (Holger Steinbrink),5,SpaceDigde     T
A103,The 1980s,0,,102,,,Poly,1,,103,T,Tsching (Holger Steinbrink),6,The 1980s      T
A104,Pulse3+,0,,103,,,Poly,1,,104,SCD,Something Completely Different (Boele Gerkes),6,Pulse3+      SCD
A105,Dig. Modular,0,,104,,,Poly,1,,105,SCD,Something Completely Different (Boele Gerkes),1,Dig. Modular SCD
A106,VA*FM,0,,105,,,Keys,1,,106,SCD,Something Completely Different (Boele Gerkes),8,VA*FM        SCD
A107,PPGenious,0,,106,,,Keys,1,,107,SCD,Something Completely Different (Boele Gerkes),4,PPGenious    SCD
A108,TriangleDance,0,,107,,,Keys,1,,108,SCD,Something Completely Different (Boele Gerkes),0,TriangleDanceSCD
A109,Wave Voices,0,,108,,,Keys,1,,109,SCD,Something Completely Different (Boele Gerkes),2,Wave Voices  SCD
A110,Piano E,0,,109,,,Keys,1,,110,SCD,Something Completely Different (Boele Gerkes),6,Piano E      SCD
A111,SimpleSeq,0,,110,,,Keys,1,,111,SCD,Something Completely Different (Boele Gerkes),4,SimpleSeq    SCD
A112,Chopshop3.0,0,,111,,,Keys,1,,112,SCD,Something Completely Different (Boele Gerkes),2,Chopshop3.0  SCD
A113,OrganClav,0,,112,,,Keys,1,,113,T,Tsching (Holger Steinbrink),6,OrganClav      T
A114,Wit Licht,0,,113,,,Keys,1,,114,SCD,Something Completely Different (Boele Gerkes),4,Wit Licht    SCD
A115,Morphorgan,0,,114,,,Keys,1,,115,T,Tsching (Holger Steinbrink),5,Morphorgan     T
A116,My Keys,0,,115,,,Poly,1,,116,SCD,Something Completely Different (Boele Gerkes),6,My Keys      SCD
A117,Warning,0,,116,,,Keys,1,,117,SCD,Something Completely Different (Boele Gerkes),6,Warning      SCD
A118,InYourRoom,0,,117,,,Keys,1,,118,SCD,Something Completely Different (Boele Gerkes),3,InYourRoom   SCD
A119,Bad Highpass,0,,118,,,Keys,1,,119,SCD,Something Completely Different (Boele Gerkes),1,Bad Highpass SCD
A120,ChildOfMine,0,,119,,,Keys,1,,120,SCD,Something Completely Different (Boele Gerkes),2,ChildOfMine  SCD
A121,2 Cats,0,,120,,,Keys,1,,121,SCD,Something Completely Different (Boele Gerkes),7,2 Cats       SCD
A122,PPG 2,0,,121,,,Poly,1,,122,SCD,Something Completely Different (Boele Gerkes),8,PPG 2        SCD
A123,FlangerSaw,0,,122,,,Poly,1,,123,SCD,Something Completely Different (Boele Gerkes),3,FlangerSaw   SCD
A124,ChainSaw,0,,123,,,Keys,1,,124,SCD,Something Completely Different (Boele Gerkes),5,ChainSaw     SCD
A125,BloAttack,0,,124,,,Keys,1,,125,SCD,Something Completely Different (Boele Gerkes),4,BloAttack    SCD
A126,Sines,0,,125,,,Poly,1,,126,SCD,Something Completely Different (Boele Gerkes),8,Sines        SCD
A127,BloodLife,0,,126,,,Poly,1,,127,SCD,Something Completely Different (Boele Gerkes),4,BloodLife    SCD
A128,Delerium,0,,127,,,Atmo,1,,128,T,Tsching (Holger Steinbrink),7,Delerium       T
B001,RisePad,1,,0,,,Pad,2,,1,RL,Unknown (RL),1,RisePad RL
B002,AmbientNodes,1,,1,,,Keys,2,,2,RL,Unknown (RL),1,AmbientNodes RL
B003,JunoStack,1,,2,,,Poly,2,,3,RL,Unknown (RL),1,JunoStack RL
B004,LayeredBass,1,,3,,,Bass,2,,4,RL,Unknown (RL),1,LayeredBass RL
B005,FirstContact,1,,4,,,Arp,2,,5,RL,Unknown (RL),1,FirstContact RL
B006,ElectroKitty,1,,5,,,Lead,2,,6,RL,Unknown (RL),1,ElectroKitty RL
B007,AnoDomini,1,,6,,,Pad,2,,7,RL,Unknown (RL),1,AnoDomini RL
B008,ClubbyOrgan,1,,7,,,Bass,2,,8,RL,Unknown (RL),1,ClubbyOrgan RL
B009,DanceChord95,1,,8,,,Lead,2,,9,RL,Unknown (RL),1,DanceChord95 RL
B010,RioLargo,1,,9,,,Arp,2,,10,RL,Unknown (RL),1,RioLargo RL
B011,FunkyDisco,1,,10,,,Bass,2,,11,RL,Unknown (RL),1,FunkyDisco RL
B012,UtopianPad,1,,11,,,Pad,2,,12,RL,Unknown (RL),1,UtopianPad RL
B013,HardTrancer,1,,12,,,Lead,2,,13,RL,Unknown (RL),1,HardTrancer RL
B014,TechnoChords,1,,13,,,Lead,2,,14,RL,Unknown (RL),1,TechnoChords RL
B015,SquareWaver,1,,14,,,Bass,2,,15,RL,Unknown (RL),1,SquareWaver RL
B016,ArpBells,1,,15,,,Arp,2,,16,RL,Unknown (RL),1,ArpBells RL
B017,FakeGuitar,1,,16,,,Keys,2,,17,RL,Unknown (RL),1,FakeGuitar RL
B018,Trance2K,1,,17,,,Pad,2,,18,RL,Unknown (RL),1,Trance2K RL
B019,Hacienda,1,,18,,,Lead,2,,19,RL,Unknown (RL),1,Hacienda RL
B020,BloChoir,1,,19,,,Lead,2,,20,RL,Unknown (RL),1,BloChoir RL
B021,BassNation,1,,20,,,Bass,2,,21,RL,Unknown (RL),1,BassNation RL
B022,MellowKeys,1,,21,,,Keys,2,,22,RL,Unknown (RL),1,MellowKeys RL
B023,TotalTrance,1,,22,,,Arp,2,,23,RL,Unknown (RL),1,TotalTrance RL
B024,PianoMan,1,,23,,,Keys,2,,24,RL,Unknown (RL),1,PianoMan RL
B025,FloorBass,1,,24,,,Bass,2,,25,RL,Unknown (RL),1,FloorBass RL
B026,AnotherWorld,1,,25,,,Pad,2,,26,RL,Unknown (RL),1,AnotherWorld RL
B027,ClockWork,1,,26,,,Arp,2,,27,RL,Unknown (RL),1,ClockWork RL
B028,SuperMario,1,,27,,,Lead,2,,28,RL,Unknown (RL),1,SuperMario RL
B029,ClubDelays,1,,28,,,Lead,2,,29,RL,Unknown (RL),1,ClubDelays RL
B030,TronicLead,1,,29,,,Lead,2,,30,RL,Unknown (RL),1,TronicLead RL
B031,FireWire,1,,30,,,Arp,2,,31,RL,Unknown (RL),1,FireWire RL
B032,DirtyRamirez,1,,31,,,Bass,2,,32,RL,Unknown (RL),1,DirtyRamirez RL
B033,MerlinsPad,1,,32,,,Pad,2,,33,RL,Unknown (RL),1,MerlinsPad RL
B034,DreamSaw,1,,33,,,Lead,2,,34,RL,Unknown (RL),1,DreamSaw RL
B035,CosmicGates,1,,34,,,Arp,2,,35,RL,Unknown (RL),1,CosmicGates RL
B036,ElectroPulse,1,,35,,,Lead,2,,36,RL,Unknown (RL),1,ElectroPulse RL
B037,SquelchBass,1,,36,,,Bass,2,,37,RL,Unknown (RL),1,SquelchBass RL
B038,TechnoDawn,1,,37,,,Pad,2,,38,RL,Unknown (RL),1,TechnoDawn RL
B039,Orchestral,1,,38,,,Lead,2,,39,RL,Unknown (RL),1,Orchestral RL
B040,StarGazer,1,,39,,,Arp,2,,40,RL,Unknown (RL),1,StarGazer RL
B041,PartyLikeAlex,1,,40,,,Bass,2,,41,RL,Unknown (RL),1,PartyLikeAlex RL
B042,DanceMaster,1,,41,,,Lead,2,,42,RL,Unknown (RL),1,DanceMaster RL
B043,HeavenlyVox,1,,42,,,Pad,2,,43,RL,Unknown (RL),1,HeavenlyVox RL
B044,PartyLead,1,,43,,,Lead,2,,44,RL,Unknown (RL),1,PartyLead RL
B045,HouseClassic,1,,44,,,Lead,2,,45,RL,Unknown (RL),1,HouseClassic RL
B046,ClubUK,1,,45,,,Arp,2,,46,RL,Unknown (RL),1,ClubUK RL
B047,TrashBass,1,,46,,,Bass,2,,47,RL,Unknown (RL),1,TrashBass RL
B048,SadStrings,1,,47,,,Pad,2,,48,RL,Unknown (RL),1,SadStrings RL
B049,RezzoPoly,1,,48,,,Poly,2,,49,RL,Unknown (RL),1,RezzoPoly RL
B050,MrMiles,1,,49,,,Keys,2,,50,RL,Unknown (RL),1,MrMiles RL
B051,SamplerVox,1,,50,,,Lead,2,,51,RL,Unknown (RL),1,SamplerVox RL
B052,TunnelPad,1,,51,,,Pad,2,,52,RL,Unknown (RL),1,TunnelPad RL
B053,ElectroSaw,1,,52,,,Bass,2,,53,RL,Unknown (RL),1,ElectroSaw RL
B054,TranceMelody,1,,53,,,Arp,2,,54,RL,Unknown (RL),1,TranceMelody RL
B055,DancePizz,1,,54,,,Lead,2,,55,RL,Unknown (RL),1,DancePizz RL
B056,DigitalDance,1,,55,,,Lead,2,,56,RL,Unknown (RL),1,DigitalDance RL
B057,SlowingDown,1,,56,,,Arp,2,,57,RL,Unknown (RL),1,SlowingDown RL
B058,303AutoGlide,1,,57,,,Bass,2,,58,RL,Unknown (RL),1,303AutoGlide RL
B059,PhazedOut,1,,58,,,Lead,2,,59,RL,Unknown (RL),1,PhazedOut RL
B060,MiniLead,1,,59,,,Lead,2,,60,RL,Unknown (RL),1,MiniLead RL
B061,Neptune,1,,60,,,Pad,2,,61,RL,Unknown (RL),1,Neptune RL
B062,Back2Detroit,1,,61,,,Lead,2,,62,RL,Unknown (RL),1,Back2Detroit RL
B063,RetroKeys,1,,62,,,Poly,2,,63,RL,Unknown (RL),1,RetroKeys RL
B064,PowerCore,1,,63,,,Lead,2,,64,RL,Unknown (RL),1,PowerCore RL
B065,Infected,1,,64,,,Seq,2,,65,RL,Unknown (RL),1,Infected RL
B066,Pikey,1,,65,,,Keys,2,,66,RL,Unknown (RL),1,Pikey RL
B067,TechnoFX,1,,66,,,FX,2,,67,RL,Unknown (RL),1,TechnoFX RL
B068,AfterDark,1,,67,,,Lead,2,,68,RL,Unknown (RL),1,AfterDark RL
B069,FlangePad,1,,68,,,Pad,2,,69,RL,Unknown (RL),1,FlangePad RL
