displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
E048,Bonker Bass,4,,47,,,Bass,5,,48,ST,Unknown (ST),3,Bonker Bass   ST
E049,Camel Saw,4,,48,,,FX,5,,49,DocT,Stefan Trippler,3,Camel Saw   DocT
E050,Cream S+H,4,,49,,,FX,5,,50,SCD,Something Completely Different (Boele Gerkes),4,Cream S+H    SCD
E051,CS4O RingMod,4,,50,,,Mono,5,,51,,,,
E052,DalaiDelayMa,4,,51,,,Arp,5,,52,SCD,Something Completely Different (Boele Gerkes),1,DalaiDelayMa SCD
E053,Dirty Organ,4,,52,,,Keys,5,,53,SCD,Something Completely Different (Boele Gerkes),2,Dirty Organ  SCD
E054,Dr.Blo,4,,53,,,Arp,5,,54,DocT,Stefan Trippler,6,Dr.Blo      DocT
E055,Driven,4,,54,,,Bass,5,,55,DocT,Stefan Trippler,6,Driven      DocT
E056,Euro Clubber,4,,55,,,Lead,5,,56,ST,Unknown (ST),2,Euro Clubber  ST
E057,Flangelized,4,,56,,,Keys,5,,57,SCD,Something Completely Different (Boele Gerkes),2,Flangelized  SCD
E058,Funky Bass,4,,57,,,Bass,5,,58,JL,Juho Lepisto,4,Funky Bass    JL
E059,Goldfinger Pad,4,,58,,,Pad,5,,59,T,Tsching (Holger Steinbrink),1,Goldfinger Pad T
E060,HardSaw,4,,59,,,Lead,5,,60,ST,Unknown (ST),7,HardSaw       ST
E061,Heimweh,4,,60,,,Atmo,5,,61,DocT,Stefan Trippler,5,Heimweh     DocT
E062,Honey House,4,,61,,,Bass,5,,62,,,,
E063,Horny Bass,4,,62,,,Bass,5,,63,ST,Unknown (ST),4,Horny Bass    ST
E064,HP PPG,4,,63,,,Pad,5,,64,SCD,Something Completely Different (Boele Gerkes),7,HP PPG       SCD
E065,Hyper,4,,64,,,Lead,5,,65,DocT,Stefan Trippler,7,Hyper       DocT
E066,I'm Evil,4,,65,,,Bass,5,,66,WMF,Wolfram Franke,5,I'm Evil     WMF
E067,Infinitesima,4,,66,,,Atmo,5,,67,DocT,Stefan Trippler,0,InfinitesimaDocT
E068,Jankorgel,4,,67,,,Mono,5,,68,SCD,Something Completely Different (Boele Gerkes),4,Jankorgel    SCD
E069,Leading,4,,68,,,Mono,5,,69,SCD,Something Completely Different (Boele Gerkes),6,Leading      SCD
E070,Maximum Zorin,4,,69,,,Atmo,5,,70,T,Tsching (Holger Steinbrink),2,Maximum Zorin  T
E071,MeetInTheSky,4,,70,,,Pad,5,,71,SCD,Something Completely Different (Boele Gerkes),1,MeetInTheSky SCD
E072,Meridian,4,,71,,,Keys,5,,72,DocT,Stefan Trippler,4,Meridian    DocT
E073,Messing,4,,72,,,Poly,5,,73,DocT,Stefan Trippler,5,Messing     DocT
E074,Minimal Bass,4,,73,,,Bass,5,,74,JL,Juho Lepisto,1,Minimal Bass JL
E075,Morph Bass,4,,74,,,Bass,5,,75,ST,Unknown (ST),4,Morph Bass    ST
E076,Moving,4,,75,,,Pad,5,,76,SCD,Something Completely Different (Boele Gerkes),7,Moving       SCD
E077,NearlyInTune,4,,76,,,Atmo,5,,77,SCD,Something Completely Different (Boele Gerkes),1,NearlyInTune SCD
E078,Neocrest,4,,77,,,Pad,5,,78,ST,Unknown (ST),6,Neocrest      ST
E079,Octopussy Pad,4,,78,,,Pad,5,,79,T,Tsching (Holger Steinbrink),2,Octopussy Pad  T
E080,Organella,4,,79,,,Keys,5,,80,,,,
E081,Partyhupe,4,,80,,,Lead,5,,81,ST,Unknown (ST),5,Partyhupe     ST
E082,Pastry,4,,81,,,Atmo,5,,82,DocT,Stefan Trippler,6,Pastry      DocT
E083,Persecutor,4,,82,,,Bass,5,,83,DocT,Stefan Trippler,2,Persecutor  DocT
E084,Phalanx,4,,83,,,Pad,5,,84,ST,Unknown (ST),7,Phalanx       ST
E085,Pick It Up!,4,,84,,,Poly,5,,85,SCD,Something Completely Different (Boele Gerkes),2,Pick It Up!  SCD
E086,Pienzchen,4,,85,,,Poly,5,,86,DocT,Stefan Trippler,3,Pienzchen   DocT
E087,Pigs X-Mod,4,,86,,,Poly,5,,87,TEK,"Till ""QWave"" Kopper",3,Pigs X-Mod   TEK
E088,PlainBass,4,,87,,,Bass,5,,88,DocT,Stefan Trippler,3,PlainBass   DocT
E089,PolterBlofeld,4,,88,,,FX,5,,89,SCD,Something Completely Different (Boele Gerkes),0,PolterBlofeldSCD
E090,Poly Lead,4,,89,,,Lead,5,,90,SCD,Something Completely Different (Boele Gerkes),4,Poly Lead    SCD
E091,PPG Piano,4,,90,,,Keys,5,,91,SCD,Something Completely Different (Boele Gerkes),4,PPG Piano    SCD
E092,PPG T40 like,4,,91,,,Bass,5,,92,TEK,"Till ""QWave"" Kopper",1,PPG T40 like TEK
E093,PredictaBass,4,,92,,,Bass,5,,93,WMF,Wolfram Franke,1,PredictaBass WMF
E094,Pressure,4,,93,,,Keys,5,,94,DocT,Stefan Trippler,4,Pressure    DocT
E095,Principia,4,,94,,,FX,5,,95,DocT,Stefan Trippler,3,Principia   DocT
E096,Pure,4,,95,,,Poly,5,,96,DocT,Stefan Trippler,8,Pure        DocT
E097,Reset,4,,96,,,Lead,5,,97,DocT,Stefan Trippler,7,Reset       DocT
E098,Ricochet2008,4,,97,,,Arp,5,,98,SCD,Something Completely Different (Boele Gerkes),1,Ricochet2008 SCD
E099,RingThemBells,4,,98,,,FX,5,,99,SCD,Something Completely Different (Boele Gerkes),0,RingThemBellsSCD
E100,Robotic,4,,99,,,Pad,5,,100,JL,Juho Lepisto,7,Robotic       JL
E101,Saw Orgy,4,,100,,,Pad,5,,101,SCD,Something Completely Different (Boele Gerkes),5,Saw Orgy     SCD
E102,Seq 1,4,,101,,,Arp,5,,102,SCD,Something Completely Different (Boele Gerkes),8,Seq 1        SCD
E103,Seven Ties,4,,102,,,Keys,5,,103,SCD,Something Completely Different (Boele Gerkes),3,Seven Ties   SCD
E104,S&Hatmo,4,,103,,,Atmo,5,,104,,,,
E105,Sobstuff,4,,104,,,Atmo,5,,105,DocT,Stefan Trippler,4,Sobstuff    DocT
E106,Soft Brass 2,4,,105,,,Poly,5,,106,DocT,Stefan Trippler,0,Soft Brass 2DocT
E107,SpatialDrive1,4,,106,,,Arp,5,,107,SCD,Something Completely Different (Boele Gerkes),0,SpatialDrive1SCD
E108,SpatialDrive2,4,,107,,,Arp,5,,108,SCD,Something Completely Different (Boele Gerkes),0,SpatialDrive2SCD
E109,Stenzelized,4,,108,,,Poly,5,,109,SCD,Something Completely Different (Boele Gerkes),2,Stenzelized  SCD
E110,Stop Bass,4,,109,,,Arp,5,,110,SCD,Something Completely Different (Boele Gerkes),4,Stop Bass    SCD
E111,SunOfTheDogs,4,,110,,,Atmo,5,,111,WMF,Wolfram Franke,1,SunOfTheDogs WMF
E112,Supersaw,4,,111,,,Lead,5,,112,ST,Unknown (ST),6,Supersaw      ST
E113,Tabloid,4,,112,,,Pad,5,,113,DocT,Stefan Trippler,5,Tabloid     DocT
E114,Telenovela,4,,113,,,Poly,5,,114,DocT,Stefan Trippler,2,Telenovela  DocT
E115,Thrill Arp,4,,114,,,Arp,5,,115,SCD,Something Completely Different (Boele Gerkes),3,Thrill Arp   SCD
E116,Utmost,4,,115,,,Lead,5,,116,DocT,Stefan Trippler,6,Utmost      DocT
E117,Variator,4,,116,,,Arp,5,,117,DocT,Stefan Trippler,4,Variator    DocT
E118,Wave Mayhem,4,,117,,,Atmo,5,,118,DocT,Stefan Trippler,1,Wave Mayhem DocT
E119,WavEpiano,4,,118,,,Keys,5,,119,SCD,Something Completely Different (Boele Gerkes),4,WavEpiano    SCD
E120,West Wave,4,,119,,,Arp,5,,120,H2SCD,Hans Herooms & Something Completely Different (Boele Gerkes),2,West Wave  H2SCD
E121,AfterConcert,4,,120,,,FX,5,,121,SCD,Something Completely Different (Boele Gerkes),1,AfterConcert SCD
E122,AnalogBass,4,,121,,,Bass,5,,122,SCD,Something Completely Different (Boele Gerkes),3,AnalogBass   SCD
E123,Barbarie Brass,4,,122,,,Poly,5,,123,ST,Unknown (ST),0,Barbarie BrassST
E124,Basster Keaton,4,,123,,,Bass,5,,124,,,,
E125,Bend Me,4,,124,,,FX,5,,125,DocT,Stefan Trippler,5,Bend Me     DocT
E126,Bioshock,4,,125,,,Pad,5,,126,JL,Juho Lepisto,6,Bioshock      JL
E127,Blubber,4,,126,,,FX,5,,127,TEK,"Till ""QWave"" Kopper",6,Blubber      TEK
E128,Diving Echos,4,,127,,,FX,5,,128,TEK,"Till ""QWave"" Kopper",1,Diving Echos TEK
F001,Flups Bass,5,,0,,,Bass,6,,1,ST,Unknown (ST),4,Flups Bass    ST
F002,Goonraker,5,,1,,,Arp,6,,2,DocT,Stefan Trippler,3,Goonraker   DocT
F003,microQ Plus,5,,2,,,Poly,6,,3,,,,
F004,MiniMoogThnd,5,,3,,,FX,6,,4,TEK,"Till ""QWave"" Kopper",1,MiniMoogThnd TEK
F005,Octa Bass,5,,4,,,Bass,6,,5,ST,Unknown (ST),5,Octa Bass     ST
F006,Porno Bass,5,,5,,,Bass,6,,6,ST,Unknown (ST),4,Porno Bass    ST
F007,ReSolotion,5,,6,,,Mono,6,,7,WMF,Wolfram Franke,3,ReSolotion   WMF
F008,Roadies Keyb,5,,7,,,Keys,6,,8,TEK,"Till ""QWave"" Kopper",1,Roadies Keyb TEK
F009,Spynett,5,,8,,,Keys,6,,9,DocT,Stefan Trippler,5,Spynett     DocT
F010,Tines,5,,9,,,Poly,6,,10,DocT,Stefan Trippler,7,Tines       DocT
F011,Velo Drive,5,,10,,,Arp,6,,11,SCD,Something Completely Different (Boele Gerkes),3,Velo Drive   SCD
F012,Vangelibells,5,,11,,,Atmo,6,,12,SCD,Something Completely Different (Boele Gerkes),1,Vangelibells SCD
F013,Bellflutes,5,,12,,,Keys,6,,13,,,,
F014,Bellissimo,5,,13,,,Keys,6,,14,,,,
F015,Bells'E.Piano,5,,14,,,Keys,6,,15,RZ,Unknown (RZ),1,Bells'E.Piano RZ
F016,Cheap Organ,5,,15,,,Keys,6,,16,,,,
F017,Chorgany,5,,16,,,Keys,6,,17,SK,Unknown (SK),6,Chorgany      SK
F018,Combuder Orgs,5,,17,,,Keys,6,,18,SK,Unknown (SK),1,Combuder Orgs SK
F019,Crunge Organ,5,,18,,,Keys,6,,19,SK,Unknown (SK),2,Crunge Organ  SK
F020,DeepHouse,5,,19,,,Keys,6,,20,SK,Unknown (SK),5,DeepHouse     SK
F021,Dirty Organ1,5,,20,,,Keys,6,,21,WMF,Wolfram Franke,1,Dirty Organ1 WMF
F022,Driven Keys,5,,21,,,Keys,6,,22,,,,
F023,Dull Bells,5,,22,,,Keys,6,,23,,,,
F024,DX-ClassiQ,5,,23,,,Keys,6,,24,HS,Howard Scarr,4,DX-ClassiQ    HS
F025,DX-Pipe,5,,24,,,Keys,6,,25,HS,Howard Scarr,7,DX-Pipe       HS
F026,Easy Piano,5,,25,,,Keys,6,,26,HS,Howard Scarr,4,Easy Piano    HS
F027,ElectricOrgan,5,,26,,,Keys,6,,27,,,,
F028,ElectricPiano,5,,27,,,Keys,6,,28,,,,
F029,Fat Sine Keys,5,,28,,,Keys,6,,29,,,,
F030,FM KeysMelody,5,,29,,,Keys,6,,30,,,,
F031,FM Roads,5,,30,,,Keys,6,,31,,,,
F032,Full Organ,5,,31,,,Keys,6,,32,HS,Howard Scarr,4,Full Organ    HS
F033,Glockenspiel,5,,32,,,Keys,6,,33,,,,
F034,GS-Piano,5,,33,,,Keys,6,,34,HS,Howard Scarr,6,GS-Piano      HS
F035,Harpsi,5,,34,,,Keys,6,,35,HS,Howard Scarr,8,Harpsi        HS
F036,Hippy Freuds,5,,35,,,Keys,6,,36,HS,Howard Scarr,2,Hippy Freuds  HS
F037,House,5,,36,,,Keys,6,,37,HM,Hubertus Maas,9,House         HM
F038,Jazz Creeper,5,,37,,,Keys,6,,38,HS,Howard Scarr,2,Jazz Creeper  HS
F039,LA-Pipe,5,,38,,,Lead,6,,39,HS,Howard Scarr,7,LA-Pipe       HS
F040,LoFi Organ,5,,39,,,Keys,6,,40,SK,Unknown (SK),4,LoFi Organ    SK
F041,Lounge Morph,5,,40,,,Keys,6,,41,HS,Howard Scarr,2,Lounge Morph  HS
F042,Lower Steam,5,,41,,,Keys,6,,42,HS,Howard Scarr,3,Lower Steam   HS
F043,Marimboid,5,,42,,,Keys,6,,43,HS,Howard Scarr,5,Marimboid     HS
F044,Modern House,5,,43,,,Keys,6,,44,SK,Unknown (SK),2,Modern House  SK
F045,Modern Keys,5,,44,,,Keys,6,,45,,,,
F046,Noise Toys,5,,45,,,Keys,6,,46,HS,Howard Scarr,4,Noise Toys    HS
F047,Ode to Joy,5,,46,,,Keys,6,,47,HS,Howard Scarr,4,Ode to Joy    HS
F048,Oil Well,5,,47,,,Keys,6,,48,,,,
F049,Organ #2,5,,48,,,Keys,6,,49,S,Stefan Stenzel,7,Organ #2       S
F050,Quad-Square,5,,49,,,Keys,6,,50,,,,
F051,Reso Organ,5,,50,,,Keys,6,,51,,,,
F052,ResOrgan,5,,51,,,Keys,6,,52,SK,Unknown (SK),6,ResOrgan      SK
F053,Rhodos Corso,5,,52,,,Keys,6,,53,WMF,Wolfram Franke,1,Rhodos Corso WMF
F054,RhodosFlango,5,,53,,,Keys,6,,54,WMF,Wolfram Franke,1,RhodosFlango WMF
F055,Rodesque,5,,54,,,Keys,6,,55,HS,Howard Scarr,6,Rodesque      HS
F056,Schwebend,5,,55,,,Keys,6,,56,jh,Joerg Huettner,5,Schwebend     jh
F057,Shed,5,,56,,,Keys,6,,57,HM,Hubertus Maas,9,Shed          HM
F058,Sick FM,5,,57,,,Keys,6,,58,SK,Unknown (SK),7,Sick FM       SK
F059,SpaceChimes,5,,58,,,Keys,6,,59,SK,Unknown (SK),3,SpaceChimes   SK
F060,The Oily Way,5,,59,,,Keys,6,,60,HS,Howard Scarr,2,The Oily Way  HS
F061,Thin Organ,5,,60,,,Keys,6,,61,HS,Howard Scarr,4,Thin Organ    HS
F062,Troubadour,5,,61,,,Keys,6,,62,,,,
F063,Wartz Piano1,5,,62,,,Keys,6,,63,HM,Hubertus Maas,2,Wartz Piano1  HM
F064,Wooden E,5,,63,,,Keys,6,,64,WMF,Wolfram Franke,5,Wooden E     WMF
F065,Wurlitzer104b,5,,64,,,Keys,6,,65,HM,Hubertus Maas,1,Wurlitzer104b HM
F066,Yamlitzer,5,,65,,,Keys,6,,66,,,,
F067,7th Sense,5,,66,,,Poly,6,,67,SK,Unknown (SK),5,7th Sense     SK
F068,80sFM Analog,5,,67,,,Poly,6,,68,SK,Unknown (SK),2,80sFM Analog  SK
F069,Aggreppo,5,,68,,,Poly,6,,69,T,Tsching (Holger Steinbrink),7,Aggreppo       T
F070,Analog Lute,5,,69,,,Poly,6,,70,HS,Howard Scarr,3,Analog Lute   HS
F071,Analog Quest,5,,70,,,Poly,6,,71,SK,Unknown (SK),2,Analog Quest  SK
F072,Aphazing,5,,71,,,Poly,6,,72,SK,Unknown (SK),6,Aphazing      SK
F073,Bell like,5,,72,,,Poly,6,,73,RZ,Unknown (RZ),5,Bell like     RZ
F074,BestOfThe80s,5,,73,,,Poly,6,,74,T,Tsching (Holger Steinbrink),3,BestOfThe80s   T
F075,Blakes 7 Str,5,,74,,,Poly,6,,75,AT,Unknown (AT),2,Blakes 7 Str  AT
F076,B-Lead,5,,75,,,Poly,6,,76,SK,Unknown (SK),8,B-Lead        SK
F077,Bounty Synth,5,,76,,,Poly,6,,77,,,,
F078,Brass Comp,5,,77,,,Poly,6,,78,HM,Hubertus Maas,4,Brass Comp    HM
F079,Brass-lead,5,,78,,,Poly,6,,79,SCD,Something Completely Different (Boele Gerkes),3,Brass-lead   SCD
F080,Brassy House,5,,79,,,Poly,6,,80,SK,Unknown (SK),2,Brassy House  SK
F081,Bright Sync,5,,80,,,Poly,6,,81,,,,
F082,Brownies,5,,81,,,Poly,6,,82,WMF,Wolfram Franke,5,Brownies     WMF
F083,CareFull,5,,82,,,Poly,6,,83,RZ,Unknown (RZ),6,CareFull      RZ
F084,Caspoly,5,,83,,,Poly,6,,84,WMF,Wolfram Franke,6,Caspoly      WMF
F085,Chamber High,5,,84,,,Poly,6,,85,HS,Howard Scarr,2,Chamber High  HS
F086,Chamber Low,5,,85,,,Poly,6,,86,HS,Howard Scarr,3,Chamber Low   HS
F087,Chord-Hose,5,,86,,,Poly,6,,87,T,Tsching (Holger Steinbrink),5,Chord-Hose     T
F088,Chord Revival,5,,87,,,Poly,6,,88,SK,Unknown (SK),1,Chord Revival SK
F089,Classic Dance,5,,88,,,Poly,6,,89,,,,
F090,Classic Synth,5,,89,,,Poly,6,,90,,,,
F091,Clavinetro,5,,90,,,Poly,6,,91,jh,Joerg Huettner,4,Clavinetro    jh
F092,Clock&Bells,5,,91,,,Poly,6,,92,RZ,Unknown (RZ),3,Clock&Bells   RZ
F093,Combi Saws,5,,92,,,Poly,6,,93,SK,Unknown (SK),4,Combi Saws    SK
F094,Compromise K,5,,93,,,Poly,6,,94,HM,Hubertus Maas,2,Compromise K  HM
F095,Concertino,5,,94,,,Poly,6,,95,SCD,Something Completely Different (Boele Gerkes),3,Concertino   SCD
F096,Cool Porta,5,,95,,,Poly,6,,96,HM,Hubertus Maas,4,Cool Porta    HM
F097,Crawlers,5,,96,,,Poly,6,,97,SK,Unknown (SK),6,Crawlers      SK
F098,Crispy Saw,5,,97,,,Poly,6,,98,SK,Unknown (SK),4,Crispy Saw    SK
F099,CyberLeader,5,,98,,,Poly,6,,99,SK,Unknown (SK),3,CyberLeader   SK
F100,Dawn Organ,5,,99,,,Poly,6,,100,,,,
F101,Deep Synth,5,,100,,,Poly,6,,101,DK,Dirk Krause,4,Deep Synth    DK
F102,Delead It!,5,,101,,,Poly,6,,102,SK,Unknown (SK),4,Delead It!    SK
F103,DirtyLead,5,,102,,,Poly,6,,103,SK,Unknown (SK),5,DirtyLead     SK
F104,D-NoiZer,5,,103,,,Poly,6,,104,SK,Unknown (SK),6,D-NoiZer      SK
F105,DollarBells,5,,104,,,Poly,6,,105,ugh,Uwe G. Hoenig,2,DollarBells  ugh
F106,Dr. Motte,5,,105,,,Poly,6,,106,T,Tsching (Holger Steinbrink),6,Dr. Motte      T
F107,Energee!,5,,106,,,Poly,6,,107,SK,Unknown (SK),6,Energee!      SK
F108,Enough Power,5,,107,,,Poly,6,,108,T,Tsching (Holger Steinbrink),3,Enough Power   T
F109,EthnoPerc,5,,108,,,Poly,6,,109,SK,Unknown (SK),5,EthnoPerc     SK
F110,Euro-Zeichen,5,,109,,,Poly,6,,110,HS,Howard Scarr,2,Euro-Zeichen  HS
F111,ExploreChords,5,,110,,,Poly,6,,111,SK,Unknown (SK),1,ExploreChords SK
F112,Fat 8-Osc,5,,111,,,Poly,6,,112,SK,Unknown (SK),5,Fat 8-Osc     SK
F113,Filigrano,5,,112,,,Poly,6,,113,SK,Unknown (SK),5,Filigrano     SK
F114,FilterFM Keys,5,,113,,,Poly,6,,114,,,,
F115,FloorFilla,5,,114,,,Poly,6,,115,SK,Unknown (SK),4,FloorFilla    SK
F116,FM Chords,5,,115,,,Poly,6,,116,SK,Unknown (SK),5,FM Chords     SK
F117,FM Melodies,5,,116,,,Poly,6,,117,,,,
F118,FMod Saws,5,,117,,,Poly,6,,118,SK,Unknown (SK),5,FMod Saws     SK
F119,FM-sono Saw,5,,118,,,Poly,6,,119,,,,
F120,French,5,,119,,,Poly,6,,120,RZ,Unknown (RZ),8,French        RZ
F121,Fun Man,5,,120,,,Poly,6,,121,,,,
F122,Gated 80's,5,,121,,,Poly,6,,122,,,,
F123,Gattaca,5,,122,,,Poly,6,,123,SK,Unknown (SK),7,Gattaca       SK
F124,Gimme Five!,5,,123,,,Poly,6,,124,SK,Unknown (SK),3,Gimme Five!   SK
F125,Glitter Power,5,,124,,,Poly,6,,125,HS,Howard Scarr,1,Glitter Power HS
F126,Good Air,5,,125,,,Poly,6,,126,SK,Unknown (SK),6,Good Air      SK
F127,High Sequence,5,,126,,,Poly,6,,127,jh,Joerg Huettner,1,High Sequence jh
F128,HitMeQuick!,5,,127,,,Poly,6,,128,SK,Unknown (SK),3,HitMeQuick!   SK
G001,Human Touch,6,,0,,,Poly,7,,1,SK,Unknown (SK),3,Human Touch   SK
G002,Ice Bells,6,,1,,,Poly,7,,2,SK,Unknown (SK),5,Ice Bells     SK
G003,Illbient Mind,6,,2,,,Poly,7,,3,,,,
G004,It's Digital,6,,3,,,Poly,7,,4,,,,
G005,Jembala,6,,4,,,Poly,7,,5,WMF,Wolfram Franke,6,Jembala      WMF
G006,JMX jun.,6,,5,,,Poly,7,,6,,,,
G007,Juno Soul,6,,6,,,Poly,7,,7,DK,Dirk Krause,5,Juno Soul     DK
G008,KlingKlang'02,6,,7,,,Poly,7,,8,jh,Joerg Huettner,1,KlingKlang'02 jh
G009,La Sirena,6,,8,,,Poly,7,,9,SK,Unknown (SK),5,La Sirena     SK
G010,Late Ring,6,,9,,,Poly,7,,10,HS,Howard Scarr,5,Late Ring     HS
G011,Leadrunner,6,,10,,,Poly,7,,11,,,,
G012,Legal Resins,6,,11,,,Poly,7,,12,HS,Howard Scarr,2,Legal Resins  HS
G013,LikeClinics,6,,12,,,Poly,7,,13,WMF,Wolfram Franke,2,LikeClinics  WMF
G014,Liquid Mel,6,,13,,,Poly,7,,14,WMF,Wolfram Franke,3,Liquid Mel   WMF
G015,Liquid Var,6,,14,,,Poly,7,,15,WMF,Wolfram Franke,3,Liquid Var   WMF
G016,LoFi 1oscPoly,6,,15,,,Poly,7,,16,,,,
G017,LoFi Lead,6,,16,,,Poly,7,,17,WMF,Wolfram Franke,4,LoFi Lead    WMF
G018,Minor Chord,6,,17,,,Poly,7,,18,RZ,Unknown (RZ),3,Minor Chord   RZ
G019,Modulizer,6,,18,,,Poly,7,,19,SK,Unknown (SK),5,Modulizer     SK
G020,Move Sound,6,,19,,,Poly,7,,20,,,,
G021,My Ol' House,6,,20,,,Poly,7,,21,SK,Unknown (SK),2,My Ol' House  SK
G022,Net Profit,6,,21,,,Poly,7,,22,HS,Howard Scarr,4,Net Profit    HS
G023,Neu * Utz,6,,22,,,Poly,7,,23,HM,Hubertus Maas,5,Neu * Utz     HM
G024,NewClassicLd,6,,23,,,Poly,7,,24,SK,Unknown (SK),2,NewClassicLd  SK
G025,No. 5 lives,6,,24,,,Poly,7,,25,T,Tsching (Holger Steinbrink),4,No. 5 lives    T
G026,OB-One Knobi,6,,25,,,Poly,7,,26,HS,Howard Scarr,2,OB-One Knobi  HS
G027,OBX Purple5,6,,26,,,Poly,7,,27,PROX,ProXenos,1,OBX Purple5 PROX
G028,Old * Uck,6,,27,,,Poly,7,,28,HM,Hubertus Maas,5,Old * Uck     HM
G029,Organistic,6,,28,,,Poly,7,,29,SK,Unknown (SK),4,Organistic    SK
G030,Papathanasiou,6,,29,,,Poly,7,,30,,,,
G031,Patagonia,6,,30,,,Poly,7,,31,HS,Howard Scarr,5,Patagonia     HS
G032,PEG Horns,6,,31,,,Poly,7,,32,HM,Hubertus Maas,5,PEG Horns     HM
G033,Phased FM,6,,32,,,Poly,7,,33,SK,Unknown (SK),5,Phased FM     SK
G034,Play It Sam!,6,,33,,,Poly,7,,34,jh,Joerg Huettner,2,Play It Sam!  jh
G035,Poly Flutes,6,,34,,,Poly,7,,35,HS,Howard Scarr,3,Poly Flutes   HS
G036,PolySequencer,6,,35,,,Poly,7,,36,,,,
G037,PowerLead,6,,36,,,Poly,7,,37,WMF,Wolfram Franke,4,PowerLead    WMF
G038,Harp,6,,37,,,Poly,7,,38,,,,
G039,PPG Nylons,6,,38,,,Poly,7,,39,PROX,ProXenos,2,PPG Nylons  PROX
G040,Pure Keys,6,,39,,,Poly,7,,40,,,,
G041,PWMaster,6,,40,,,Poly,7,,41,SK,Unknown (SK),6,PWMaster      SK
G042,Qazzio,6,,41,,,Poly,7,,42,HS,Howard Scarr,8,Qazzio        HS
G043,Qddicted!,6,,42,,,Poly,7,,43,SK,Unknown (SK),5,Qddicted!     SK
G044,Qtronix,6,,43,,,Poly,7,,44,ugh,Uwe G. Hoenig,6,Qtronix      ugh
G045,Quake FM,6,,44,,,Poly,7,,45,SK,Unknown (SK),6,Quake FM      SK
G046,Quintage,6,,45,,,Poly,7,,46,T,Tsching (Holger Steinbrink),7,Quintage       T
G047,Quinter 007,6,,46,,,Poly,7,,47,SK,Unknown (SK),3,Quinter 007   SK
G048,RaveLover,6,,47,,,Poly,7,,48,SK,Unknown (SK),5,RaveLover     SK
G049,Really Insane,6,,48,,,Poly,7,,49,,,,
G050,Romeo,6,,49,,,Poly,7,,50,DK,Dirk Krause,9,Romeo         DK
G051,RoundTheHorn,6,,50,,,Poly,7,,51,HS,Howard Scarr,2,RoundTheHorn  HS
G052,SawTheLight,6,,51,,,Poly,7,,52,SK,Unknown (SK),3,SawTheLight   SK
G053,Sax And Dregs,6,,52,,,Poly,7,,53,,,,
G054,Schubduese,6,,53,,,Poly,7,,54,T,Tsching (Holger Steinbrink),5,Schubduese     T
G055,ShatterWaves,6,,54,,,Poly,7,,55,SK,Unknown (SK),2,ShatterWaves  SK
G056,Siegessaeule,6,,55,,,Poly,7,,56,T,Tsching (Holger Steinbrink),3,Siegessaeule   T
G057,Simple Melo,6,,56,,,Poly,7,,57,jh,Joerg Huettner,3,Simple Melo   jh
G058,Smash It!,6,,57,,,Poly,7,,58,SK,Unknown (SK),5,Smash It!     SK
G059,Solo Harp,6,,58,,,Poly,7,,59,,,,
G060,Speed,6,,59,,,Poly,7,,60,,,,
G061,Spice,6,,60,,,Poly,7,,61,SK,Unknown (SK),9,Spice         SK
G062,Spring Clean,6,,61,,,Poly,7,,62,,,,
G063,Stabs!,6,,62,,,Poly,7,,63,,,,
G064,Stack with you,6,,63,,,Poly,7,,64,,,,
G065,SteaLead,6,,64,,,Poly,7,,65,SK,Unknown (SK),6,SteaLead      SK
G066,String Poly,6,,65,,,Poly,7,,66,HS,Howard Scarr,3,String Poly   HS
G067,String Thing,6,,66,,,Poly,7,,67,HS,Howard Scarr,2,String Thing  HS
G068,Stuermer 1,6,,67,,,Poly,7,,68,WMF,Wolfram Franke,3,Stuermer 1   WMF
G069,Stylotub,6,,68,,,Poly,7,,69,SK,Unknown (SK),6,Stylotub      SK
G070,SyncCity,6,,69,,,Poly,7,,70,,,,
G071,Synchronic,6,,70,,,Poly,7,,71,SK,Unknown (SK),4,Synchronic    SK
G072,SynthPiano,6,,71,,,Poly,7,,72,SK,Unknown (SK),4,SynthPiano    SK
G073,Synth X,6,,72,,,Poly,7,,73,,,,
G074,Tea @ Eight,6,,73,,,Poly,7,,74,HS,Howard Scarr,3,Tea @ Eight   HS
G075,Tech.Lead 1,6,,74,,,Poly,7,,75,,,,
G076,Tech.Lead 2,6,,75,,,Poly,7,,76,,,,
G077,TelephoneSyn,6,,76,,,Poly,7,,77,ugh,Uwe G. Hoenig,1,TelephoneSyn ugh
G078,Telepromter,6,,77,,,Poly,7,,78,ugh,Uwe G. Hoenig,2,Telepromter  ugh
G079,The Big 80s,6,,78,,,Poly,7,,79,,,,
G080,The Cutter,6,,79,,,Poly,7,,80,SK,Unknown (SK),4,The Cutter    SK
G081,Titanomania,6,,80,,,Poly,7,,81,SK,Unknown (SK),3,Titanomania   SK
G082,TranceHarp,6,,81,,,Poly,7,,82,HM,Hubertus Maas,4,TranceHarp    HM
G083,Trance Plant,6,,82,,,Poly,7,,83,HS,Howard Scarr,2,Trance Plant  HS
G084,Trancer,6,,83,,,Poly,7,,84,SK,Unknown (SK),7,Trancer       SK
