displayname,patchname,msb,lsb,programchange,poly,arp,categories,dt-bank,dt-sbnk,dt-programchange
121,Monster Bs 2,95,64,120,,,Bass,96,65,121
122,Monster Bs 3,95,64,121,,,Bass,96,65,122
123,Monster Bs 4,95,64,122,,,Bass,96,65,123
124,Square Bs 1,95,64,123,,,Bass,96,65,124
125,106 Bass 2,95,64,124,,,Bass,96,65,125
126,5th Stac Bs1,95,64,125,,,Bass,96,65,126
127,SqrStacSynBs,95,64,126,,,Bass,96,65,127
128,MC-202 Bs,95,64,127,,,Bass,96,65,128
129,TB Bass 2,95,65,0,,,Bass,96,66,1
130,Square Bs 2,95,65,1,,,Bass,96,66,2
131,SH-101 Bs,95,65,2,,,Bass,96,66,3
132,R&B Bass 2,95,65,3,,,Bass,96,66,4
133,MG Bass 4,95,65,4,,,Bass,96,66,5
134,Seq Bass 2,95,65,5,,,Bass,96,66,6
135,Tri Bass 1,95,65,6,,,Bass,96,66,7
136,BPF Syn Bs 2,95,65,7,,,Bass,96,66,8
137,BPF Syn Bs 1,95,65,8,,,Bass,96,66,9
138,Low Bass 1,95,65,9,,,Bass,96,66,10
139,Low Bass 2,95,65,10,,,Bass,96,66,11
140,Kick Bass 1,95,65,11,,,Bass,96,66,12
141,SinDetuneBs1,95,65,12,,,Bass,96,66,13
142,Organ Bass 1,95,65,13,,,Bass,96,66,14
143,Growl Bass 1,95,65,14,,,Bass,96,66,15
144,Talking Bs 1,95,65,15,,,Bass,96,66,16
145,LFO Bass 1,95,65,16,,,Bass,96,66,17
146,LFO Bass 2,95,65,17,,,Bass,96,66,18
147,Crack Bass,95,65,18,,,Bass,96,66,19
148,Wobble Bs 1,95,65,19,,,Bass,96,66,20
149,Wobble Bs 2,95,65,20,,,Bass,96,66,21
150,Wobble Bs 3,95,65,21,,,Bass,96,66,22
151,Wobble Bs 4,95,65,22,,,Bass,96,66,23
152,SideChainBs1,95,65,23,,,Bass,96,66,24
153,SideChainBs2,95,65,24,,,Bass,96,66,25
154,House Bass 1,95,65,25,,,Bass,96,66,26
155,FM Bass,95,65,26,,,Bass,96,66,27
156,4Op FM Bass1,95,65,27,,,Bass,96,66,28
157,Ac. Bass,95,65,28,,,Bass,96,66,29
158,Fingerd Bs 1,95,65,29,,,Bass,96,66,30
159,Picked Bass,95,65,30,,,Bass,96,66,31
160,Fretless Bs,95,65,31,,,Bass,96,66,32
161,Slap Bass 1,95,65,32,,,Bass,96,66,33
162,JD Piano 1,95,65,33,,,Keyboard,96,66,34
163,E. Grand 1,95,65,34,,,Keyboard,96,66,35
164,Trem EP 1,95,65,35,,,Keyboard,96,66,36
165,FM E. Piano 1,95,65,36,,,Keyboard,96,66,37
166,FM E. Piano 2,95,65,37,,,Keyboard,96,66,38
167,Vib Wurly 1,95,65,38,,,Keyboard,96,66,39
168,Pulse Clav,95,65,39,,,Keyboard,96,66,40
169,Clav,95,65,40,,,Keyboard,96,66,41
170,70’s E. Organ,95,65,41,,,Keyboard,96,66,42
171,House Org 1,95,65,42,,,Keyboard,96,66,43
172,House Org 2,95,65,43,,,Keyboard,96,66,44
173,Bell 1,95,65,44,,,Keyboard,96,66,45
174,Bell 2,95,65,45,,,Keyboard,96,66,46
175,Organ Bell,95,65,46,,,Keyboard,96,66,47
176,Vibraphone 1,95,65,47,,,Keyboard,96,66,48
177,Steel Drum,95,65,48,,,Keyboard,96,66,49
178,Harp 1,95,65,49,,,Keyboard,96,66,50
179,Ac. Guitar,95,65,50,,,Keyboard,96,66,51
180,Bright Strat,95,65,51,,,Keyboard,96,66,52
181,Funk Guitar1,95,65,52,,,Keyboard,96,66,53
182,Jazz Guitar,95,65,53,,,Keyboard,96,66,54
